,ec2-ap-northeast-1,ec2-ap-northeast-2,ec2-ap-south-1,ec2-ap-southeast-1,ec2-ap-southeast-2,ec2-eu-central-1,ec2-eu-west-1,ec2-sa-east-1,ec2-us-east-1,ec2-us-west-1,ec2-us-west-2
ec2-ap-northeast-1,0,32,142,74,104,244,223,283,154,105,100
ec2-ap-northeast-2,32,0,145,78,134,272,243,312,176,135,120
ec2-ap-south-1,142,145,0,69,243,115,135,306,206,250,236
ec2-ap-southeast-1,74,78,69,0,176,260,196,361,220,182,169
ec2-ap-southeast-2,104,134,243,176,0,314,310,322,229,158,163
ec2-eu-central-1,244,272,114,260,314,0,22,194,93,158,166
ec2-eu-west-1,223,243,135,196,310,22,0,192,81,155,138
ec2-sa-east-1,283,312,306,361,322,194,192,0,147,194,183
ec2-us-east-1,155,176,206,221,229,93,81,147,0,81,90
ec2-us-west-1,105,135,250,182,158,158,154,194,80,0,21
ec2-us-west-2,101,120,237,169,163,165,138,183,90,22,0
