,ec2-ap-northeast-1,ec2-ap-northeast-2,ec2-ap-south-1,ec2-ap-southeast-1,ec2-ap-southeast-2,ec2-eu-central-1,ec2-eu-west-1,ec2-sa-east-1,ec2-us-east-1,ec2-us-west-1,ec2-us-west-2
aladdin.planetlab.extranet.uni-passau.de,284,296,130,359,374,24,49,228,115,176,187
ebb.colgate.edu,176,218,246,266,221,90,87,150,33,89,104
eve.ee.ntu.edu.tw,43,71,142,64,145,310,318,321,235,137,159
gschembra3.diit.unict.it,292,316,151,369,344,48,76,250,141,194,211
gschembra4.diit.unict.it,296,310,168,372,350,46,70,248,127,212,202
host1.planetlab.informatik.tu-darmstadt.de,256,321,269,212,312,10,29,219,107,171,175
host2.planetlab.informatik.tu-darmstadt.de,285,314,264,220,309,15,39,220,123,176,186
host3-plb.loria.fr,234,273,132,260,315,30,61,221,106,152,181
iraplab1.iralab.uni-karlsruhe.de,276,303,123,200,313,10,27,216,109,175,176
iraplab2.iralab.uni-karlsruhe.de,284,313,125,209,328,15,40,218,126,190,193
jupiter.planetlab.carleton.ca,196,176,294,252,267,130,126,166,50,83,101
lefthand.eecs.harvard.edu,185,208,275,255,228,86,83,132,27,95,109
mars.planetlab.haw-hamburg.de,281,313,143,352,316,19,37,238,102,187,176
merkur.planetlab.haw-hamburg.de,293,296,145,356,336,25,50,240,120,177,192
mtuplanetlab1.cs.mtu.edu,168,205,236,257,255,141,133,154,53,78,99
mtuplanetlab2.cs.mtu.edu,165,200,217,238,251,129,116,155,32,65,79
node1.planetlab.mathcs.emory.edu,177,190,258,252,207,112,122,127,30,71,87
node2.planetlab.mathcs.emory.edu,187,203,269,259,207,118,131,127,38,76,98
node2pl.planet-lab.telecom-lille1.eu,225,295,157,284,345,33,61,234,118,173,183
onelab3.info.ucl.ac.be,301,286,122,346,334,20,26,218,90,159,161
pl1.6test.edu.cn,223,379,458,125,310,383,366,409,285,224,255
pl1.cs.montana.edu,180,176,266,225,233,169,172,185,66,45,41
pl1.csl.utoronto.ca,164,184,221,240,251,92,90,160,32,64,60
pl1.eng.monash.edu.au,222,301,291,100,27,301,305,344,239,186,183
pl1.pku.edu.cn,251,284,366,206,334,321,302,317,223,164,189
pl1.rcc.uottawa.ca,189,200,221,277,223,103,107,153,53,87,102
pl1.ucs.indiana.edu,175,208,282,248,232,124,108,154,30,61,60
pl1.uni-rostock.de,271,315,146,349,331,20,40,245,103,188,176
pl2.bell-labs.fr,281,305,216,267,366,19,36,189,96,176,167
pl2.cs.yale.edu,188,210,213,264,262,89,94,134,29,95,103
pl2.csl.utoronto.ca,169,191,208,261,259,110,106,160,48,74,79
pl2.eng.monash.edu.au,218,301,292,96,24,299,301,343,234,183,178
pl2.pku.edu.cn,259,287,373,215,335,326,312,328,236,171,202
pl2.rcc.uottawa.ca,188,208,203,258,218,99,102,150,46,83,96
pl2.ucs.indiana.edu,182,214,273,252,243,134,125,154,49,74,81
plab1.cs.msu.ru,311,329,163,298,344,50,61,247,125,196,205
planet-lab-node1.netgroup.uniroma2.it,302,325,158,369,332,37,62,243,126,204,197
planet-lab-node2.netgroup.uniroma2.it,308,318,156,357,343,37,63,243,125,183,195
planet-lab1.itba.edu.ar,314,340,416,418,357,263,288,33,179,217,224
planet-lab1.uba.ar,300,333,373,393,366,256,274,232,177,210,221
planet-lab2.itba.edu.ar,336,343,431,419,350,275,270,33,179,216,226
planet-lab4.uba.ar,290,322,399,388,373,264,268,233,177,211,214
planet1.cs.rochester.edu,205,232,203,264,221,94,95,127,30,89,82
planet1.jaist.ac.jp,28,44,156,102,135,268,256,271,189,136,149
planet1.pnl.nitech.ac.jp,19,32,137,85,125,281,254,271,190,117,123
planet2.inf.tu-dresden.de,284,294,131,360,351,19,41,237,113,175,185
planet2.unipr.it,304,321,146,353,317,24,48,245,107,177,185
planetlab-02.bu.edu,171,215,255,244,246,85,84,133,16,72,78
planetlab-02.kusa.ac.jp,20,42,152,90,125,255,236,283,173,120,103
planetlab-03.cs.princeton.edu,170,209,210,267,216,92,85,148,20,68,77
