,bandwidth,g2.8xlarge,g2.2xlarge,c4.2xlarge,ratio=D/E
ec2-ap-northeast-1,0.14,3.592,0.898,0.531,1.691148776
ec2-ap-northeast-2,0.126,3.22296526,0.805741315,0.478,1.685651286
ec2-ap-south-1,0.1903,3.701690224,0.925422556,0.549,1.685651286
ec2-ap-southeast-1,0.12,4,1,0.578,1.730103806
ec2-ap-southeast-2,0.14,3.592,0.898,0.549,1.635701275
ec2-eu-central-1,0.09,3.088,0.772,0.534,1.445692884
ec2-eu-west-1,0.09,2.808,0.702,0.477,1.471698113
ec2-sa-east-1,0.25,4.382693344,1.095673336,0.65,1.685651286
ec2-us-east-1,0.09,2.6,0.65,0.419,1.551312649
ec2-us-west-1,0.09,2.808,0.702,0.524,1.339694656
ec2-us-west-2,0.09,2.6,0.65,0.419,1.551312649
